Région;Ancienne région;Département;Zone d'emploi;EPCI;Nom commune;Commune;Grand secteur d'activité;Secteur NA17;Secteur NA38;Secteur NA88;APE;Code région;Code ancienne région;Code département;Code zone d'emploi;Code EPCI;Code commune;Code APE;Nombre d'établissements 2006;Effectifs salariés 2006;Nombre d'établissements 2007;Effectifs salariés 2007;Nombre d'établissements 2008;Effectifs salariés 2008;Nombre d'établissements 2009;Effectifs salariés 2009;Nombre d'établissements 2010;Effectifs salariés 2010;Nombre d'établissements 2011;Effectifs salariés 2011;Nombre d'établissements 2012;Effectifs salariés 2012;Nombre d'établissements 2013;Effectifs salariés 2013;Nombre d'établissements 2014;Effectifs salariés 2014;Nombre d'établissements 2015;Effectifs salariés 2015;Nombre d'établissements 2016;Effectifs salariés 2016;Nombre d'établissements 2017;Effectifs salariés 2017;Nombre d'établissements 2018;Effectifs salariés 2018;Nombre d'établissements 2019;Effectifs salariés 2019;Nombre d'établissements 2020;Effectifs salariés 2020;Nombre d'établissements 2021;Effectifs salariés 2021;Nombre d'établissements 2022;Effectifs salariés 2022
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS1 Industrie;DE Industries extractives, énergie, eau;EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution;"38 Collecte, traitement et élimination des déchets ; récupération";3812Z Collecte des déchets dangereux;28;23;76;2815;200023414;76575;3812Z;;;;;;;;;;;;;;;;;;;;;;;;;1;6;1;12;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4312B Travaux de terrassement spécialisés ou de grande masse;28;23;76;2815;200023414;76575;4312B;1;9;1;8;1;8;1;7;1;8;1;7;1;7;1;7;1;7;1;5;1;4;1;4;1;3;1;4;1;4;1;4;1;4
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4321B Travaux d'installation électrique sur la voie publique;28;23;76;2815;200023414;76575;4321B;;;;;;;;;;;;;;;;;;;;;1;50;1;49;1;46;1;44;1;43;1;43;1;40
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4329A Travaux d'isolation;28;23;76;2815;200023414;76575;4329A;1;4;1;5;1;4;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;1;2
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4329B Autres travaux d'installation n.c.a.;28;23;76;2815;200023414;76575;4329B;2;22;2;22;3;108;3;97;3;91;3;86;3;90;2;71;2;72;2;66;2;67;2;70;2;68;2;75;1;65;1;61;1;70
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4331Z Travaux de plâtrerie;28;23;76;2815;200023414;76575;4331Z;1;2;1;1;1;3;1;1;1;2;1;2;;;;;1;1;1;1;1;3;1;1;1;2;2;4;2;4;3;8;3;4
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4332A Travaux de menuiserie bois et PVC;28;23;76;2815;200023414;76575;4332A;8;75;7;73;7;94;5;77;5;71;3;73;3;74;2;53;2;52;4;60;4;63;5;86;5;97;5;95;5;93;5;102;4;82
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4332B Travaux de menuiserie métallique et serrurerie;28;23;76;2815;200023414;76575;4332B;3;15;2;16;2;16;2;9;2;17;3;14;3;19;3;12;3;13;3;13;1;2;2;4;2;5;1;1;2;2;2;3;2;3
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4334Z Travaux de peinture et vitrerie;28;23;76;2815;200023414;76575;4334Z;1;23;4;29;5;30;5;30;6;43;4;46;6;55;6;63;6;55;5;62;6;60;9;66;9;88;8;71;9;77;6;46;8;75
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4391B Travaux de couverture par éléments;28;23;76;2815;200023414;76575;4391B;6;49;4;38;4;41;4;50;3;40;3;36;3;32;3;39;2;35;3;37;3;34;3;41;4;46;4;47;3;45;3;48;4;51
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;45 Commerce et réparation d'automobiles et de motocycles;4520B Entretien et réparation d'autres véhicules automobiles;28;23;76;2815;200023414;76575;4520B;1;9;2;13;2;15;1;10;2;15;1;7;1;10;1;9;1;7;2;9;2;9;2;10;2;11;2;10;3;12;4;20;4;19
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4631Z Commerce de gros (commerce interentreprises) de fruits et légumes;28;23;76;2815;200023414;76575;4631Z;;;;;;;;;;;;;1;1;;;1;4;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4638A Commerce de gros de poissons, crustacés et mollusques;28;23;76;2815;200023414;76575;4638A;;;;;;;;;;;;;;;;;1;44;1;49;1;51;1;43;1;47;2;41;2;35;2;35;2;35
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4643Z Commerce de gros d'appareils électroménagers;28;23;76;2815;200023414;76575;4643Z;1;6;1;9;1;9;1;10;1;9;1;11;1;13;2;20;2;18;2;23;2;24;2;23;2;24;2;23;1;9;1;9;1;9
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4646Z Commerce de gros de produits pharmaceutiques;28;23;76;2815;200023414;76575;4646Z;1;160;1;162;1;138;1;144;1;150;1;147;1;137;1;130;2;125;2;125;2;117;2;125;2;118;2;122;2;123;2;128;2;122
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4652Z Comm. de gros d'éqpts et composants électroniques et de télécomm.;28;23;76;2815;200023414;76575;4652Z;4;69;4;73;4;83;5;111;5;108;5;117;5;115;6;105;6;107;5;84;5;85;6;98;6;99;7;112;7;105;7;105;6;102
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4661Z Commerce de gros (commerce interentreprises) de matériel agricole;28;23;76;2815;200023414;76575;4661Z;2;50;2;56;2;60;2;60;2;59;2;60;2;56;2;58;2;59;2;57;2;61;2;62;2;59;2;53;2;52;2;44;2;43
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4663Z Comm de gros de machines pour l'extrac, la constr, le génie civil;28;23;76;2815;200023414;76575;4663Z;5;73;3;75;3;82;3;63;3;56;3;63;2;34;2;32;2;34;2;37;2;33;2;39;2;39;2;42;2;42;2;43;3;53
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4669C Comm. gros de fournitures & équipts divers pour commerces & sces;28;23;76;2815;200023414;76575;4669C;3;17;3;16;3;15;3;14;3;15;3;13;3;12;3;10;3;15;3;13;3;14;2;8;3;14;3;15;4;16;3;15;3;14
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4674A Commerce de gros (commerce interentreprises) de quincaillerie;28;23;76;2815;200023414;76575;4674A;3;24;3;27;3;27;3;32;3;29;3;28;3;30;3;30;3;33;3;31;3;32;4;37;4;37;4;38;5;37;6;48;6;61
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4675Z Commerce de gros de produits chimiques;28;23;76;2815;200023414;76575;4675Z;2;8;1;2;1;4;1;2;1;1;2;24;2;20;2;6;1;5;1;4;1;4;1;4;1;4;1;4;1;4;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4690Z Commerce de gros (commerce interentreprises) non spécialisé;28;23;76;2815;200023414;76575;4690Z;;;;;;;;;;;;;1;1;1;5;2;7;2;6;2;6;2;4;3;5;1;5;2;5;2;5;2;4
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4711B Commerce d'alimentation générale;28;23;76;2815;200023414;76575;4711B;1;1;4;8;3;6;6;11;4;7;5;7;4;7;3;4;3;3;4;5;5;9;3;5;3;5;3;2;3;4;2;2;2;2
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4711F Hypermarchés;28;23;76;2815;200023414;76575;4711F;1;370;1;349;1;359;1;368;1;376;1;403;1;393;1;398;1;428;1;447;1;460;1;458;1;462;1;450;1;443;1;435;1;445
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4723Z Comm. détail poissons crustacés & mollusques (magasin spécialisé);28;23;76;2815;200023414;76575;4723Z;1;2;1;1;1;2;;;1;2;1;3;1;1;1;1;;;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4729Z Autres commerces de détail alimentaires en magasin spécialisé;28;23;76;2815;200023414;76575;4729Z;;;;;;;;;;;1;5;1;2;1;4;;;;;;;;;;;;;;;1;2;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4730Z Commerce de détail de carburants en magasin spécialisé;28;23;76;2815;200023414;76575;4730Z;1;4;1;4;;;;;;;1;3;1;2;1;3;;;1;4;1;3;1;2;1;3;1;3;1;4;1;2;1;4
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4753Z Comm. détail tapis, moquettes & revêts murs & sols (magas. spéc.);28;23;76;2815;200023414;76575;4753Z;2;17;1;13;1;13;1;10;1;9;1;10;1;10;1;10;1;9;1;8;1;8;1;7;1;9;1;10;1;8;1;9;1;9
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4754Z Commerce de détail appareils électroménagers (magasin spécialisé);28;23;76;2815;200023414;76575;4754Z;1;21;1;18;1;19;1;19;1;20;1;19;1;18;1;18;1;18;1;18;1;18;1;19;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4759A Commerce de détail de meubles;28;23;76;2815;200023414;76575;4759A;1;21;1;23;1;21;1;19;1;20;2;29;1;18;1;17;;;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4759B Commerce de détail d'autres équipements du foyer;28;23;76;2815;200023414;76575;4759B;;;;;;;;;1;2;1;3;1;2;1;2;1;1;;;;;;;;;;;1;1;1;1;1;1
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4773Z Commerce de détail produits pharmaceutiques (magasin spécialisé);28;23;76;2815;200023414;76575;4773Z;11;80;11;78;11;73;10;78;11;78;11;76;11;76;11;79;11;67;11;69;10;64;10;71;9;65;7;57;7;60;7;59;7;60
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4778C Autres commerces de détail spécialisés divers;28;23;76;2815;200023414;76575;4778C;1;2;;;;;;;;;1;9;1;9;1;9;1;11;1;12;1;9;1;11;1;17;1;15;2;16;2;15;2;12
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4779Z Commerce de détail de biens d'occasion en magasin;28;23;76;2815;200023414;76575;4779Z;1;2;1;2;1;3;1;3;1;3;1;2;;;;;;;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4789Z Autres commerces de détail sur éventaires et marchés;28;23;76;2815;200023414;76575;4789Z;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;1;1;1;1
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4791A Vente à distance sur catalogue général;28;23;76;2815;200023414;76575;4791A;1;81;1;65;1;49;1;11;;;;;;;;;;;;;;;;;;;;;;;1;2;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;HZ Transports;HZ Transports et entreposage;49 Transports terrestres et transport par conduites;4932Z Transports de voyageurs par taxis;28;23;76;2815;200023414;76575;4932Z;;;;;;;;;;;;;;;;;;;1;0;;;1;1;1;1;1;1;1;1;1;1;2;2
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;HZ Transports;HZ Transports et entreposage;49 Transports terrestres et transport par conduites;4941B Transports routiers de fret de proximité;28;23;76;2815;200023414;76575;4941B;7;91;6;74;6;84;8;86;8;88;10;85;12;103;14;124;16;167;12;160;10;139;13;187;14;191;16;227;15;249;18;296;22;292
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;HZ Transports;HZ Transports et entreposage;52 Entreposage et services auxiliaires des transports;5221Z Services auxiliaires des transports terrestres;28;23;76;2815;200023414;76575;5221Z;;;;;;;;;;;;;;;;;;;1;3;1;2;1;1;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;HZ Transports;HZ Transports et entreposage;52 Entreposage et services auxiliaires des transports;5229A Messagerie, fret express;28;23;76;2815;200023414;76575;5229A;9;669;11;690;8;587;8;557;8;582;7;573;8;544;8;544;8;559;8;541;8;533;9;533;7;527;7;541;7;528;7;530;7;561
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;HZ Transports;HZ Transports et entreposage;52 Entreposage et services auxiliaires des transports;5229B Affrètement et organisation des transports;28;23;76;2815;200023414;76575;5229B;8;211;5;172;6;222;6;210;8;206;8;154;7;135;7;129;7;110;7;109;7;100;9;106;9;107;9;113;10;152;9;203;9;197
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS4 Hôtellerie-restauration;IZ Hébergement et restauration;IZ Hébergement et restauration;56 Restauration;5610B Cafétérias et autres libres-services;28;23;76;2815;200023414;76575;5610B;1;34;1;36;1;19;1;18;1;14;1;15;1;18;1;19;1;19;1;24;1;23;1;23;1;21;1;18;1;17;1;17;1;18
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;JZ Information et communication;JA Edition et audiovisuel;58 Édition;5813Z Édition de journaux;28;23;76;2815;200023414;76575;5813Z;;;1;3;;;;;;;;;;;;;;;1;78;1;35;1;34;1;35;1;33;1;18;1;3;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;JZ Information et communication;JA Edition et audiovisuel;58 Édition;5829A Édition de logiciels système et de réseau;28;23;76;2815;200023414;76575;5829A;;;1;6;1;7;1;6;1;5;1;5;1;4;1;4;1;4;1;4;1;4;1;2;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;JZ Information et communication;JC Activités informatiques;63 Services d'information;6311Z Traitement de données, hébergement et activités connexes;28;23;76;2815;200023414;76575;6311Z;1;13;1;13;1;15;1;20;1;26;2;29;2;41;3;61;4;66;4;66;4;67;4;70;5;82;6;81;7;75;3;31;3;34
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;KZ Activités financières et d'assurance;KZ Activités financières et d'assurance;64 Activités des services financiers, hors assurance et caisses de retraite;6491Z Crédit-bail;28;23;76;2815;200023414;76575;6491Z;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;KZ Activités financières et d'assurance;KZ Activités financières et d'assurance;65 Assurance;6512Z Autres assurances;28;23;76;2815;200023414;76575;6512Z;3;655;3;670;5;641;5;642;7;646;2;32;2;35;2;35;2;30;2;32;2;27;2;18;2;17;2;17;2;16;2;16;2;12
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;LZ Activités immobilières;LZ Activités immobilières;68 Activités immobilières;6810Z Activités des marchands de biens immobiliers;28;23;76;2815;200023414;76575;6810Z;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;LZ Activités immobilières;LZ Activités immobilières;68 Activités immobilières;6831Z Agences immobilières;28;23;76;2815;200023414;76575;6831Z;1;4;1;4;2;9;2;7;2;6;2;7;2;6;2;5;2;6;2;6;2;7;3;7;2;5;2;6;2;2;2;4;3;5
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MA Activités juridiques, de conseil et d'ingénierie;69 Activités juridiques et comptables;6910Z Activités juridiques;28;23;76;2815;200023414;76575;6910Z;2;15;2;15;2;14;1;3;1;3;1;3;2;3;2;3;2;3;2;3;2;4;2;4;2;5;2;6;2;7;1;7;1;9
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MA Activités juridiques, de conseil et d'ingénierie;69 Activités juridiques et comptables;6920Z Activités comptables;28;23;76;2815;200023414;76575;6920Z;2;21;3;17;3;10;2;11;2;12;2;13;3;13;3;14;3;13;2;16;2;13;2;11;2;11;2;13;2;13;2;13;2;15
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MA Activités juridiques, de conseil et d'ingénierie;"71 Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques";7120B Analyses, essais et inspections techniques;28;23;76;2815;200023414;76575;7120B;5;157;5;118;7;142;6;136;5;148;6;156;7;159;7;166;7;169;9;194;11;253;15;421;11;312;10;305;10;274;10;286;11;290
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MB Recherche et développement;72 Recherche-développement scientifique;7219Z Recherche-développement : autres sciences physiques et naturelles;28;23;76;2815;200023414;76575;7219Z;3;40;4;42;4;51;4;47;4;48;4;42;4;43;4;43;4;43;4;45;3;41;3;46;4;45;4;46;3;45;3;41;3;44
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";NZ Activités de services administratifs et de soutien;77 Activités de location et location-bail;7729Z Location et location-bail autres biens personnels et domestiques;28;23;76;2815;200023414;76575;7729Z;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;18
Normandie;Haute-Normandie;Seine-Maritime;Rouen;Métropole Rouen Normandie;Saint-Étienne-du-Rouvray;76575 Saint-Étienne-du-Rouvray;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";NZ Activités de services administratifs et de soutien;77 Activités de location et location-bail;7732Z Location et location-bail machines & équipts pour la construction;28;23;76;2815;200023414;76575;7732Z;8;74;8;75;6;46;4;32;6;40;6;36;8;65;7;50;6;50;6;55;5;55;4;56;4;58;4;55;4;51;4;54;3;37
